id,relationship_id,heading,meaning
14,13,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ เรื่องเจ็บป่วย (มรณะ)","ท่านจะเก็บรักษาทรัพย์สินไม่ได้ จะประกอบการงานสิ่งใด ๆ ทรัพย์สินเงินทองมากก็เก็บไว้ไม่อยู่ ลงทุนไม่ได้ผลกำไร ,  ทรัพย์สินอยู่ห่างไกล  , ไม่ได้ใช้ทรัพย์สินเงินทองที่หามาได้แล้วนั้นให้เกิดประโยชน์กับตน , ถูกคิดคดโกงเอาเปรียบ มักจะได้รับความเดือดร้อนในเรื่องการเงินการทองอยู่เสมอ ๆ"
15,13,"รายได้รายจ่าย (กดุมภะ) สัมพันธ์กับ เรื่องเจ็บป่วย (มรณะ)","ท่านหาทรัพย์มายากลำบาก มีทรัพย์สินใด ๆ ก็ดี ก็มักจะมีผู้ฉ้อโกงและแก่งแย่งเอาเปรียบ เอาไปเสีย ท่านจะมีสิ่งสินทรัพย์สักเพียงใด ๆ ก็ดี จะรักษาไว้ไม่ได้ เพราะชะตาชีวิตของท่าน มีทรัพย์สินเป็นมรณะ จึงเป็นผู้ที่ไม่มีความสามารถจะเก็บทรัพย์สินที่ตนหามาได้ ให้ถาวรมั่นคงยั่งยืนสืบต่อไป ถึงจะมีสิ่งที่ตนรักใคร่และหวงแหนอย่างไรก็มักจะมีเหตุให้เสียไป ,ท่านมีหนี้สิน ,รายได้ท่านอยู่ในที่ไกลๆ ,ท่านได้มรดก เงินทรัพย์ที่ได้จากการสูญเสีย"
16,16,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ท่านเป็นผู้โชคดีในชีวิต ไม่มียากจนขัดสนเลย บริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์สร้างความมั่นคงให้ท่าน ชะตาท่านตกอยู่ในที่ผู้หลักผู้ใหญ่ จะได้เป็นที่สนิทของผู้หลักผู้ใหญ่ มีที่อยู่กินมั่นคงเป็นผู้มีวิถีชีวิตที่แน่นอนไปในทางดี มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
17,16,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ลาภยศ โชคลาภ (ลาภะ)","ท่านมักจะได้รับโชคดีในเรื่องเงิน ๆ ทองๆ ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ อยู่เสมอ และมักจะได้ประสบโชคลาภ ในเรื่องเงิน ๆทองๆ ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ อย่างไม่นึกฝัน ลงทุนทำสิ่งใดมักได้ผลดี"
18,16,"รายได้รายจ่าย (กดุมภะ) สัมพันธ์กับ ลาภยศ โชคลาภ (ลาภะ)","ท่านเป็นคนที่มีบุญวาสนาอย่างดียิ่ง มีฐานะทางการเงินและการครองชีพอย่างมั่นคงและสดใส จะประกอบการทำมาหากินด้วยการงานอะไรก็ได้ ก็จะเป็นอาชีพที่เหมาะสมกับชะตาชีวิตของเจ้าชะตาทั้งนั้น การงานที่ทำนั้น ๆ จะให้ผลแก่ผู้นั้นอย่างน่าพึงพอใจที่สุด ท่านจะไปติดต่อกับใครๆ ก็มักจะได้รับความต้อนรับอย่างดีที่สุด เขาจะให้ความเอ็นดูต่อท่าน เหมือนอย่างลูกหลานท่านเพื่อนฝูง คนที่อุดมสมบูรณ์ด้วยทรัพย์สินเงินทองและข้าวของเครื่องใช้สอยทุกอย่างผู้นั้นจะเป็นคนที่มีชะตาสูงส่งจะเป็นคนที่มิรู้จะยากจะจนเลยจนตลอดชีวิต"
19,19,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ท่านเป็นผู้โชคดีในชีวิต ไม่มียากจนขัดสนเลย บริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์สร้างความมั่นคงให้ท่าน ชะตาท่านตกอยู่ในที่ผู้หลักผู้ใหญ่ จะได้เป็นที่สนิทของผู้หลักผู้ใหญ่ มีที่อยู่กินมั่นคงเป็นผู้มีวิถีชีวิตที่แน่นอนไปในทางดี มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
20,19,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ความเจริญรุ่งเรือง (สุภะ)","ท่านจะมีความร่มเย็นเป็นสุขในชีวิต มีความประสงค์สิ่งใด ๆ ก็จะได้สมความปรารถนาทุกประการ จะเป็นผู้มีโชคดี ในเรื่องเงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ ซึ่งเจริญรุ่งเรื่อง ก้าวหน้า มีผู้แนะแนวทางให้"
21,19,"รายได้รายจ่าย (กดุมภะ) สัมพันธ์กับ ความเจริญรุ่งเรือง (สุภะ)","ท่านมีอำนาจวาสนามีอยู่มีกินอุดมสมบูรณ์ มีบริวารชายหญิงอยู่พร้อมพรั่ง มีทรัพย์สินมรดกตกทอด  เงินทอง ที่ดิน ธุรกิจ ผลประโยชน์ไม่ยากจน ทรัพย์สินที่มีก็เจริญงอกงามออกผลน่าชื่นใจ มีผู้ช่วยเหลือในการเสวงหาทรัพย์สิน ท่านเป็นคนมีความเฉลี่ยฉลาด รู้จักช่องทางทำมาหากิน"
22,22,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ตัวท่านเอง (ตะนุ)","ท่านโชคดีมีวาสนา จะบริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ หาทรัพย์สินเงินทองด้วยตัวเอง ชีวิตไม่ค่อยขัดสนเรื่องเงินๆ ทองๆ รักษาทรัพย์ได้ดี  มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
23,22,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ หน้าที่การงาน (กัมมะ)","ท่านจะมีโชคในเรื่องประกอบอาชีพ ลงทุนแล้วคุ้มค่า ได้เงินเพราะการงานที่ท่านทำเต็มเม็ดเต็มหน่วย ถ้าค้าขายจะยิ่งมีโชคดีเพราะการขายจะมีผลกำไร อย่างยิ่ง จะทำให้ท่านได้รับความสุขจากเงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ ที่ได้มา ท่านรู้จักการประกอบการทำมาหากินถูกกับชะตาชีวิตของท่าน ทำให้มีความสุขในชีวิตการงานการเงิน"
24,22,"ตัวท่านเอง (ตะนุ) สัมพันธ์กับ หน้าที่การงาน (กัมมะ)","ท่านเป็นคนที่มีความขยันขันแข็ง เป็นคนที่มีความมานะอดทนดีในการประกอบการทำมาหากิน รับผิดชอบงานดี เมื่อมีความมั่นหมายในสิ่งใดก็จะมีมานะตั้งใจทำจนสิ่งนั้นสำเร็จลุล่วงไป ไม่ชอบพึ่งพาคนอื่น ชอบทำงานที่เป็นของตนเอง"
25,25,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ตัวท่านเอง (ตะนุ)","ท่านโชคดีมีวาสนา จะบริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ หาทรัพย์สินเงินทองด้วยตัวเอง ชีวิตไม่ค่อยขัดสนเรื่องเงินๆ ทองๆ รักษาทรัพย์ได้ดี  มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
26,25,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ เหน็จเหนื่อยเพื่อคนอื่น ส่วนรวม (ทาสา)","ท่านจะมีลูกน้องบริวารใช้สอย นำเอาความสำเร็จมาสู่ท่าน คือเป็นคนที่มีดวงชะตาชีวิต เป็นคนมีอำนาจแก่ลูกน้องบริวาร หรือหมู่คนที่อยู่ในความปกครองของท่าน ไม่ว่าจะใช้สอยหรือรับไหว้วานไปแล้วนั้น ๆ ก็จะนำความสำเร็จมาเสมอ เป็นคนที่มีอำนาจอยู่ในตัว มักจะได้รับเลือกเป็นหัวหน้า จัดเป็นคนที่มีเกณฑ์ชะตาชีวิตที่ดี แต่ท่านจะเหน็ดเหนื่อยในการหาทรัพย์ เพื่อผู้อื่น หรือสังคม"
27,25,"ตัวท่านเอง (ตะนุ) สัมพันธ์กับ เหน็จเหนื่อยเพื่อคนอื่น ส่วนรวม (ทาสา)","ท่านมีความสงบเสงี่ยมเจียมตนไม่เป็นคนฟุ้งเฟ้อเห่อเหิม เป็นคนรู้จักความพอดีในความเป็นอยู่ของตน คือตนมีความเป็นอยู่เช่นไร ก็มีความพอใจอยู่เช่นนั้น ชอบทำงานอาสาผู้อื่น เสียสละเพื่อผู้อื่น ช่วยเหลือส่วนรวม ชอบทำหน้าที่อาสาเจ้านาย แล้วจะมีความดีความชอบในการอาสาเจ้านายนั้น"
28,28,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ตัวท่านเอง (ตะนุ)","ท่านโชคดีมีวาสนา จะบริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ หาทรัพย์สินเงินทองด้วยตัวเอง ชีวิตไม่ค่อยขัดสนเรื่องเงินๆ ทองๆ รักษาทรัพย์ได้ดี  มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
29,28,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ การเหน็จเหนื่อยเพื่อตัวเอง (ทาสี)","ท่านจะมีลูกน้องบริวารใช้สอย นำเอาความสำเร็จมาสู่ท่าน คือเป็นคนที่มีดวงชะตาชีวิต เป็นคนมีอำนาจแก่ลูกน้องบริวาร หรือหมู่คนที่อยู่ในความปกครองของท่าน ไม่ว่าจะใช้สอยหรือรับไหว้วานไปแล้วนั้น ๆ ก็จะนำความสำเร็จมาเสมอ เป็นคนที่มีอำนาจอยู่ในตัว มักจะได้รับเลือกเป็นหัวหน้า จัดเป็นคนที่มีเกณฑ์ชะตาชีวิตที่ดี แต่ท่านจะเหน็ดเหนื่อยในการหาทรัพย์ เก็บรักษาทรัพย์ไม่ค่อยได้"
30,28,"ตัวท่านเอง (ตะนุ) สัมพันธ์กับ การเหน็จเหนื่อยเพื่อตัวเอง (ทาสี)","ท่านมีความสงบเสงี่ยมเจียมตนไม่เป็นคนฟุ้งเฟ้อเห่อเหิม เป็นคนรู้จักความพอดีในความเป็นอยู่ของตน คือตนมีความเป็นอยู่เช่นไร ก็มีความพอใจอยู่เช่นนั้น ชีวิตมักเหนื่อยยาก รักครอบครัว ยอมเหนื่อยเพื่อครอบครัว"
31,31,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ตัวท่านเอง (ตะนุ)","ท่านโชคดีมีวาสนา จะบริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ หาทรัพย์สินเงินทองด้วยตัวเอง ชีวิตไม่ค่อยขัดสนเรื่องเงินๆ ทองๆ รักษาทรัพย์ได้ดี  มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
32,31,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ สิ่งไม่ดี เรื่องปิดบัง ซ่อนเร้น (พยายะ)","ท่านจะมีปัญหาเรื่องเงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์บ่อย แม้จะลงทุนทำการค้าขายต่าง ๆ ก็มักจะผิดหวังขาดทุน   , ต้องล้มเลิกไป ท่านไม่ใคร่จะได้รับความราบรื่นในชีวิต หาทรัพย์ได้ยาก มีเพียงพอมีพอกินเท่านั้น , ท่านมีชะตาพอปานกลาง ไม่ถึงกับอุดมสมบูรณ์ หรือถึงกับตกทุกข์ได้ยาก , หรือท่านมีเงินเก็บที่ปิดบังซ่อนเร้นไว้ไม่ให้ใครรู้"
33,31,"ตัวท่านเอง (ตะนุ) สัมพันธ์กับ สิ่งไม่ดี เรื่องปิดบัง ซ่อนเร้น (พยายะ)","ชะตาชีวิตของท่านไม่ค่อยจะมีความราบรื่น มักจะมีโรคภัยไข้เจ็บ คอยเบียดเบียนอยู่เสมอ โรคนั้นมิรู้จะหายขาดได้ แต่เป็น ๆ หาย ๆ ต้องเสียเงินเสียทองในการรักษานั้นเป็นจำนวนมาก เพราะเป็นผู้มีบาปกรรมติดตามมา แต่ชาติปางก่อน , เป็นคนมีความลับ"
34,34,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ตัวท่านเอง (ตะนุ)","ท่านโชคดีมีวาสนา จะบริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ หาทรัพย์สินเงินทองด้วยตัวเอง ชีวิตไม่ค่อยขัดสนเรื่องเงินๆ ทองๆ รักษาทรัพย์ได้ดี  มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
35,34,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ เรื่องเจ็บป่วย (มรณะ)","ท่านจะเก็บรักษาทรัพย์สินไม่ได้ จะประกอบการงานสิ่งใด ๆ ทรัพย์สินเงินทองมากก็เก็บไว้ไม่อยู่ ลงทุนไม่ได้ผลกำไร ,  ทรัพย์สินอยู่ห่างไกล  , ไม่ได้ใช้ทรัพย์สินเงินทองที่หามาได้แล้วนั้นให้เกิดประโยชน์กับตน , ถูกคิดคดโกงเอาเปรียบ มักจะได้รับความเดือดร้อนในเรื่องการเงินการทองอยู่เสมอ ๆ"
36,34,"ตัวท่านเอง (ตะนุ) สัมพันธ์กับ เรื่องเจ็บป่วย (มรณะ)","ท่านแม้จะมีญาติพี่น้องมากมายอย่างไรก็ตาม แต่ผู้นั้นจะพึ่งพาอาศัยญาติพี่น้องนั้นไม่ได้ และท่านจะพึ่งตัวของตัวเองก็ทั้งยาก ผู้ที่มีชะตาชีวิตตกอยู่ในลักษณะเช่นนี้ เป็นชะตาชีวิตที่แร้นแค้นมากแม้แต่อาหารการกินที่จะได้กินแต่ละมื้อก็แสนลำบาก ขอให้ท่านจงตั้งอยู่ในทางที่ดีจึงจะค่อยทุเลา สิ่งร้ายเหล่านั้นจะเบาบางลงได้บ้างและจะได้รับความสุข เช่นคนอื่นเขา , ชีวิตมักได้ดิบได้ดีที่ต่างถิน , มักมีการพลัดพราก"
37,37,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ตัวท่านเอง (ตะนุ)","ท่านโชคดีมีวาสนา จะบริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ หาทรัพย์สินเงินทองด้วยตัวเอง ชีวิตไม่ค่อยขัดสนเรื่องเงินๆ ทองๆ รักษาทรัพย์ได้ดี  มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
38,37,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ ลาภยศ โชคลาภ (ลาภะ)","ท่านมักจะได้รับโชคดีในเรื่องเงิน ๆ ทองๆ ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ อยู่เสมอ และมักจะได้ประสบโชคลาภ ในเรื่องเงิน ๆทองๆ ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ อย่างไม่นึกฝัน ลงทุนทำสิ่งใดมักได้ผลดี"
